Port_IDs,total_realized_profit,total_quantity,total_positions,win_positions,ROI,Win_Rate,sharpe_ratio,max_drawdown,score
3768170840939476993,0.03872561185547472,2775.560153,14,6,0.7233442485174642,0.6,,1.0,
3786761687746711808,0.035166366572973874,61740.0093,82,37,0.03590048754981569,0.6317073170731707,,0.713236965545132,
3819545518395756033,0.10654391862910415,142075.8616,68,26,0.0650148272116543,0.5352941176470588,,1.0,
3826087012661391104,0.06533999749323155,4373.7423342,108,63,1.0,0.8166666666666667,,0.993771981954865,
3880920727367689984,0.0,162140.697,145,49,0.0,0.4731034482758621,,0.0,
3910887259807777281,0.18236017914724026,202111.79279,75,17,0.08148782132675793,0.3173333333333333,,0.9558001669636641,
3911997667197443328,0.07206895696411825,97435.47094,64,30,0.059468433124655225,0.65625,,1.0,
3936410995029308417,1.0,596381.514,20,6,0.15463682286288824,0.42,,1.0,
3941019213896463617,0.4062236385856792,865365.33221,112,55,0.04869480037121439,0.6874999999999999,,0.6987826786861319,
3944658614777849089,0.2073315785488845,99562.15156,45,20,0.17844290563615584,0.6222222222222222,,1.0,
3956048468100538880,0.14278349611523788,123238.17079999999,28,20,0.09958181137416063,1.0,,1.0,
3977234346014419201,0.2398266761793904,59166.712085,83,33,0.34274633421102835,0.5566265060240964,,1.0,
3981810242465907713,0.27751014910866906,256545.09857,105,12,0.09885601471150393,0.16,,1.0,
3983074113875692800,0.2395998173157756,89182.84576,43,14,0.2301511350954983,0.4558139534883721,,1.0,
3998659472131949824,0.14976071756739798,471476.05092,147,72,0.03389273805096085,0.6857142857142856,,1.0,
4004713168329653760,0.1698257229158394,51922.30061,27,2,0.27019218437418857,0.10370370370370369,,1.0,
4023697433751327232,0.23807053029301442,75586.8848,42,4,0.2681645398274752,0.13333333333333333,,1.0,
4023697881318718465,0.30656410771894765,95292.77542,70,6,0.27806192719179157,0.12,,1.0,
4028427053699127040,0.25877349158610763,297328.34026,121,36,0.08094507924694577,0.4165289256198347,,0.9884971388381842,
4029422834086627072,0.27414220550199536,215737.03283,102,38,0.11449687520034547,0.5215686274509804,,1.0,
